ticker,rows,date_min,date_max,close_non_null_pct,volume_non_null_pct,status
ADYEN.AS,1894,2018-06-13,2025-10-31,100.0,100.0,OK
AI.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
ASML.AS,2774,2015-01-02,2025-10-31,100.0,100.0,OK
DSY.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
ENX.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
GTT.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
IPN.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
MC.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
OR.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
SU.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
TTE.PA,2775,2015-01-02,2025-10-31,100.0,100.0,OK
