date,ticker,w_prev,w_new,turnover_piece,cost
2024-02-12,AAA,0.0,1.0,1.0,0.0005
2024-02-15,AAA,1.0,0.0,1.0,0.0005
2024-02-15,TSLA,0.0,1.0,1.0,0.0005
2024-02-21,GOOGL,0.0,1.0,1.0,0.0005
2024-02-21,TSLA,1.0,0.0,1.0,0.0005
2024-02-22,GOOGL,1.0,0.0,1.0,0.0005
2024-02-22,NVDA,0.0,1.0,1.0,0.0005
2024-02-27,NFLX,0.0,1.0,1.0,0.0005
2024-02-27,NVDA,1.0,0.0,1.0,0.0005
2024-02-28,NFLX,1.0,0.0,1.0,0.0005
2024-02-28,TSLA,0.0,1.0,1.0,0.0005
2024-02-29,AMD,0.0,1.0,1.0,0.0005
2024-02-29,TSLA,1.0,0.0,1.0,0.0005
2024-03-05,AMD,1.0,0.0,1.0,0.0005
2024-03-05,NVDA,0.0,1.0,1.0,0.0005
2024-03-08,META,0.0,1.0,1.0,0.0005
2024-03-08,NVDA,1.0,0.0,1.0,0.0005
2024-03-11,GOOGL,0.0,1.0,1.0,0.0005
2024-03-11,META,1.0,0.0,1.0,0.0005
2024-03-13,GOOGL,1.0,0.0,1.0,0.0005
2024-03-13,NVDA,0.0,1.0,1.0,0.0005
2024-03-14,BBB,0.0,1.0,1.0,0.0005
2024-03-14,NVDA,1.0,0.0,1.0,0.0005
2024-03-15,BBB,1.0,0.0,1.0,0.0005
2024-03-15,GOOGL,0.0,1.0,1.0,0.0005
2024-03-19,GOOGL,1.0,0.0,1.0,0.0005
2024-03-19,TSLA,0.0,1.0,1.0,0.0005
2024-03-21,AVGO,0.0,1.0,1.0,0.0005
2024-03-21,TSLA,1.0,0.0,1.0,0.0005
2024-03-26,AVGO,1.0,0.0,1.0,0.0005
2024-03-26,TSLA,0.0,1.0,1.0,0.0005
2024-04-01,GOOGL,0.0,1.0,1.0,0.0005
2024-04-01,TSLA,1.0,0.0,1.0,0.0005
2024-04-03,GOOGL,1.0,0.0,1.0,0.0005
2024-04-03,META,0.0,1.0,1.0,0.0005
2024-04-08,META,1.0,0.0,1.0,0.0005
2024-04-08,TSLA,0.0,1.0,1.0,0.0005
2024-04-09,GOOGL,0.0,1.0,1.0,0.0005
2024-04-09,TSLA,1.0,0.0,1.0,0.0005
2024-04-10,GOOGL,1.0,0.0,1.0,0.0005
2024-04-10,TSLA,0.0,1.0,1.0,0.0005
2024-04-11,NVDA,0.0,1.0,1.0,0.0005
2024-04-11,TSLA,1.0,0.0,1.0,0.0005
2024-04-12,AAA,0.0,1.0,1.0,0.0005
2024-04-12,NVDA,1.0,0.0,1.0,0.0005
