date,ticker,w_prev,w_new,turnover_piece,cost
2024-02-12,AAA,0.0,1.0,1.0,0.0005
2024-02-27,AAA,1.0,0.0,1.0,0.0005
2024-02-27,NVDA,0.0,1.0,1.0,0.0005
2024-03-05,AMD,0.0,1.0,1.0,0.0005
2024-03-05,NVDA,1.0,0.0,1.0,0.0005
2024-03-12,AMD,1.0,0.0,1.0,0.0005
2024-03-12,NVDA,0.0,1.0,1.0,0.0005
2024-03-19,GOOGL,0.0,1.0,1.0,0.0005
2024-03-19,NVDA,1.0,0.0,1.0,0.0005
2024-04-03,AVGO,0.0,1.0,1.0,0.0005
2024-04-03,GOOGL,1.0,0.0,1.0,0.0005
2024-04-10,AVGO,1.0,0.0,1.0,0.0005
2024-04-10,META,0.0,1.0,1.0,0.0005
