run_id,signals.mom.lookback_days,strategy.topN,rebalance.days,cagr,vol,sharpe,mdd,is_cagr,is_sharpe,oos_cagr,oos_sharpe,report_dir
2025-10-22_20-46-44_001,3,1,1,0.2620977398114457,0.353081222110747,0.8407759872470028,-0.05760377358490565,0.8301619015020321,1.8137829102064869,,,reports\exp_v2_oos\_runs\run_001_global
2025-10-22_20-46-44_002,3,1,5,-0.201846171468531,0.3897393849529894,-0.3785077819972282,-0.07547169811320753,0.40769410492882274,1.141474775760537,,,reports\exp_v2_oos\_runs\run_002_global
2025-10-22_20-46-44_003,3,2,1,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_003_global
2025-10-22_20-46-44_004,3,2,5,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_004_global
2025-10-22_20-46-44_005,5,1,1,-0.2034552683513331,0.3333145559270809,-0.5105762825569233,-0.05760377358490576,0.02952284043703024,0.26443995110196233,,,reports\exp_v2_oos\_runs\run_005_global
2025-10-22_20-46-44_006,5,1,5,-0.201846171468531,0.3897393849529894,-0.3785077819972282,-0.07547169811320753,0.40769410492882274,1.141474775760537,,,reports\exp_v2_oos\_runs\run_006_global
2025-10-22_20-46-44_007,5,2,1,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_007_global
2025-10-22_20-46-44_008,5,2,5,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_008_global
2025-10-22_20-46-44_009,10,1,1,2.6422113778378735,0.14595872894071718,8.952068827503755,-0.019607843137254943,5.883823198662759,27.478586264368623,,,reports\exp_v2_oos\_runs\run_009_global
2025-10-22_20-46-44_010,10,1,5,2.6422113778378735,0.14595872894071718,8.952068827503755,-0.019607843137254943,5.883823198662759,27.478586264368623,,,reports\exp_v2_oos\_runs\run_010_global
2025-10-22_20-46-44_011,10,2,1,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_011_global
2025-10-22_20-46-44_012,10,2,5,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_012_global
2025-10-22_20-46-44_013,20,1,1,2.6422113778378735,0.14595872894071718,8.952068827503755,-0.019607843137254943,5.883823198662759,27.478586264368623,,,reports\exp_v2_oos\_runs\run_013_global
2025-10-22_20-46-44_014,20,1,5,2.6422113778378735,0.14595872894071718,8.952068827503755,-0.019607843137254943,5.883823198662759,27.478586264368623,,,reports\exp_v2_oos\_runs\run_014_global
2025-10-22_20-46-44_015,20,2,1,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_015_global
2025-10-22_20-46-44_016,20,2,5,2.2738422523025643,0.23322207042299836,5.214529342847282,-0.028301886792452824,5.923880939788684,8.54069089987794,,,reports\exp_v2_oos\_runs\run_016_global
